product_id,product_type,apr,risk_level,annual_fee,min_income_required,description
0,savings_account,0.014607919227183,1,0,40000,"Savings account offering about 1.46% interest rate, ideal for low-risk savings and emergency funds."
1,installment_loan,0.154086157791299,3,0,60000,"Installment loan with approximately 15.4% APR and annual fee 0 USD, suitable for medium to large purchases."
2,installment_loan,0.1507765249215168,3,50,20000,"Installment loan with approximately 15.1% APR and annual fee 50 USD, suitable for medium to large purchases."
3,installment_loan,0.1615209719055514,3,0,40000,"Installment loan with approximately 16.2% APR and annual fee 0 USD, suitable for medium to large purchases."
4,savings_account,0.00556260990663,1,0,40000,"Savings account offering about 0.56% interest rate, ideal for low-risk savings and emergency funds."
5,savings_account,0.0243763931264507,1,25,80000,"Savings account offering about 2.44% interest rate, ideal for low-risk savings and emergency funds."
6,insurance,0.0082368584601884,2,0,60000,Insurance policy product providing financial protection against unexpected events.
7,savings_account,0.037580728682044,1,0,40000,"Savings account offering about 3.76% interest rate, ideal for low-risk savings and emergency funds."
8,credit_card,0.2080587399572971,4,50,60000,"Credit card product with around 20.8% APR and annual fee 50 USD, designed for everyday spending."
9,credit_card,0.206073321113,4,25,20000,"Credit card product with around 20.6% APR and annual fee 25 USD, designed for everyday spending."
10,insurance,0.0,2,0,80000,Insurance policy product providing financial protection against unexpected events.
11,savings_account,0.0184509378931497,1,0,60000,"Savings account offering about 1.85% interest rate, ideal for low-risk savings and emergency funds."
12,installment_loan,0.1408644050553349,3,0,80000,"Installment loan with approximately 14.1% APR and annual fee 0 USD, suitable for medium to large purchases."
13,insurance,0.0028111397864973,2,50,40000,Insurance policy product providing financial protection against unexpected events.
14,installment_loan,0.1361268303851979,3,100,20000,"Installment loan with approximately 13.6% APR and annual fee 100 USD, suitable for medium to large purchases."
15,installment_loan,0.1652418448640752,3,25,80000,"Installment loan with approximately 16.5% APR and annual fee 25 USD, suitable for medium to large purchases."
16,installment_loan,0.152020503905618,3,50,80000,"Installment loan with approximately 15.2% APR and annual fee 50 USD, suitable for medium to large purchases."
17,savings_account,0.0078921636637169,1,0,80000,"Savings account offering about 0.79% interest rate, ideal for low-risk savings and emergency funds."
18,credit_card,0.2054428687233871,4,0,40000,"Credit card product with around 20.5% APR and annual fee 0 USD, designed for everyday spending."
19,installment_loan,0.1345572144882376,3,25,40000,"Installment loan with approximately 13.5% APR and annual fee 25 USD, suitable for medium to large purchases."
20,credit_card,0.1974005512748161,4,25,40000,"Credit card product with around 19.7% APR and annual fee 25 USD, designed for everyday spending."
21,installment_loan,0.1429712849507792,3,0,60000,"Installment loan with approximately 14.3% APR and annual fee 0 USD, suitable for medium to large purchases."
22,installment_loan,0.159898822643799,3,0,60000,"Installment loan with approximately 16.0% APR and annual fee 0 USD, suitable for medium to large purchases."
23,installment_loan,0.1457206484471681,3,0,40000,"Installment loan with approximately 14.6% APR and annual fee 0 USD, suitable for medium to large purchases."
24,savings_account,0.0128511229718314,1,0,40000,"Savings account offering about 1.29% interest rate, ideal for low-risk savings and emergency funds."
25,credit_card,0.211707262056996,4,50,80000,"Credit card product with around 21.2% APR and annual fee 50 USD, designed for everyday spending."
26,credit_card,0.1955976224417881,4,50,80000,"Credit card product with around 19.6% APR and annual fee 50 USD, designed for everyday spending."
27,installment_loan,0.1597133228877479,3,0,80000,"Installment loan with approximately 16.0% APR and annual fee 0 USD, suitable for medium to large purchases."
28,insurance,0.0,2,25,20000,Insurance policy product providing financial protection against unexpected events.
29,credit_card,0.2123249881446547,4,50,80000,"Credit card product with around 21.2% APR and annual fee 50 USD, designed for everyday spending."
30,credit_card,0.1953735779724179,4,25,20000,"Credit card product with around 19.5% APR and annual fee 25 USD, designed for everyday spending."
31,credit_card,0.2073178798327978,4,25,20000,"Credit card product with around 20.7% APR and annual fee 25 USD, designed for everyday spending."
32,installment_loan,0.1628332292330985,3,0,40000,"Installment loan with approximately 16.3% APR and annual fee 0 USD, suitable for medium to large purchases."
33,savings_account,0.021966854613698,1,0,20000,"Savings account offering about 2.20% interest rate, ideal for low-risk savings and emergency funds."
34,installment_loan,0.1499356562150114,3,25,60000,"Installment loan with approximately 15.0% APR and annual fee 25 USD, suitable for medium to large purchases."
35,installment_loan,0.1511086962849048,3,0,80000,"Installment loan with approximately 15.1% APR and annual fee 0 USD, suitable for medium to large purchases."
36,installment_loan,0.1699408950059764,3,25,20000,"Installment loan with approximately 17.0% APR and annual fee 25 USD, suitable for medium to large purchases."
37,credit_card,0.2309883914765766,4,25,60000,"Credit card product with around 23.1% APR and annual fee 25 USD, designed for everyday spending."
38,savings_account,0.0,1,25,80000,"Savings account offering about -0.96% interest rate, ideal for low-risk savings and emergency funds."
39,insurance,0.0,2,0,40000,Insurance policy product providing financial protection against unexpected events.
40,credit_card,0.2031229128908497,4,100,80000,"Credit card product with around 20.3% APR and annual fee 100 USD, designed for everyday spending."
41,savings_account,0.0285115640937577,1,0,80000,"Savings account offering about 2.85% interest rate, ideal for low-risk savings and emergency funds."
42,installment_loan,0.1504340686102306,3,100,60000,"Installment loan with approximately 15.0% APR and annual fee 100 USD, suitable for medium to large purchases."
43,savings_account,0.0339406506288601,1,25,40000,"Savings account offering about 3.39% interest rate, ideal for low-risk savings and emergency funds."
44,insurance,0.0008758811384366,2,0,40000,Insurance policy product providing financial protection against unexpected events.
45,savings_account,0.0110587973864131,1,0,40000,"Savings account offering about 1.11% interest rate, ideal for low-risk savings and emergency funds."
46,credit_card,0.1934875084635568,4,100,80000,"Credit card product with around 19.3% APR and annual fee 100 USD, designed for everyday spending."
47,savings_account,0.0196851596892754,1,25,60000,"Savings account offering about 1.97% interest rate, ideal for low-risk savings and emergency funds."
48,installment_loan,0.1442755392177541,3,0,20000,"Installment loan with approximately 14.4% APR and annual fee 0 USD, suitable for medium to large purchases."
49,insurance,0.016292371625826,2,25,20000,Insurance policy product providing financial protection against unexpected events.
50,savings_account,0.0029787213594138,1,25,60000,"Savings account offering about 0.30% interest rate, ideal for low-risk savings and emergency funds."
51,credit_card,0.1867817628481709,4,0,40000,"Credit card product with around 18.7% APR and annual fee 0 USD, designed for everyday spending."
52,insurance,0.0027923536064701,2,0,80000,Insurance policy product providing financial protection against unexpected events.
53,installment_loan,0.158499690139313,3,25,20000,"Installment loan with approximately 15.8% APR and annual fee 25 USD, suitable for medium to large purchases."
54,credit_card,0.201972722725364,4,50,40000,"Credit card product with around 20.2% APR and annual fee 50 USD, designed for everyday spending."
55,installment_loan,0.1425274139993841,3,0,20000,"Installment loan with approximately 14.3% APR and annual fee 0 USD, suitable for medium to large purchases."
56,savings_account,0.0151135904201859,1,100,40000,"Savings account offering about 1.51% interest rate, ideal for low-risk savings and emergency funds."
57,savings_account,0.0315762406653932,1,0,80000,"Savings account offering about 3.16% interest rate, ideal for low-risk savings and emergency funds."
